Supercharger,Street Address,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"The Dalles, OR",2114 W 6th,The Dalles,OR,97058,USA,5,"45.611964, -121.208526",45,Open,2014-08-01,SC,thread
"Billings, MT",1801 Majestic LN,Billings,MT,59102,USA,4,"45.733716, -108.604573",978,Open,2014-07-23,SC,thread
"Wickenburg, AZ",155 N Tegner Tt,Wickenburg,AZ,85390,USA,6,"33.970233, -112.73165",628,Open,2014-07-11,SC,thread
"Tifton, GA",1310 U.S. 82,Tifton,GA,31794,USA,8,"31.448583, -83.534472",92,Open,2014-07-10,SC,thread
"Salina, KS",755 W Diamond Dr,Salina,KS,67401,USA,6,"38.877342, -97.618699",371,Open,2014-07-04,SC,thread
"Limon, CO",2221 6th St,Limon,CO,80828,USA,6,"39.268842, -103.708604","1,652",Open,2014-06-21,SC,thread
"Goodland, KS",2631 Enterprise Rd,Goodland,KS,67735,USA,6,"39.326253, -101.725171","1,129",Open,2014-06-13,SC,thread
"Hays, KS",4101 Vine St,Hays,KS,67601,USA,6,"38.900543, -99.319142",626,Open,2014-06-12,SC,thread
"Nephi, UT",2100 S Main St,Nephi,UT,84648,USA,6,"39.678397, -111.840704","1,555",Open,2014-06-11,SC,thread
"Ritzville, WA",105 Galbreath Way,Ritzville,WA,99169,USA,4,"47.116294, -118.368328",570,Open,2014-05-18,SC,thread
"Gila Bend, AZ",826 W Pima St,Gila Bend,AZ,85337,USA,8,"32.943969, -112.733506",221,Open,2014-05-17,SC,thread
"Macon, GA",450 Martin Luther King Jr Blvd,Macon,GA,31201,USA,8,"32.833428, -83.625557",98,Open,2014-05-08,SC,thread
"Triadelphia, WV",35 Bob Wise Drive,Triadelphia,WV,26059,USA,4,"40.060757, -80.602874",397,Open,2014-05-07,SC,thread
"San Juan Capistrano, CA",31971 Camino Capistrano,San Juan Capistrano,CA,92675,USA,7,"33.498458, -117.6632",30,Open,2014-05-06,SC,thread
"Woodbridge, VA",2700 Potomac Mills Circle,Woodbridge,VA,22192,USA,8,"38.64082, -77.29633",63,Open,2014-05-02,SC,thread
"Albany, NY",131 Colonie Center,Albany,NY,12205,USA,6,"42.710356, -73.819109",88,Open,2014-04-30,SC,thread
"Roseville, CA",1151 Galleria Blvd,Roseville,CA,95678,USA,7,"38.771208, -121.266149",66,Open,2014-04-29,SC,thread
"Hamilton Marketplace, NJ",425 Marketplace Blvd,Hamilton Township,NJ,8691,USA,6,"40.195539, -74.641375",21,Open,2014-04-22,SC,thread
"Beaver, UT",Littlefield Interchange,Beaver,UT,84713,USA,4,"38.249149, -112.652524","1,790",Open,2014-04-14,SC,thread
"Richfield, UT",20 W 1400 N,Richfield,UT,84701,USA,4,"38.788161, -112.083841","1,659",Open,2014-04-04,SC,thread
"Cranberry, PA",1308 Freedom Rd,Cranberry Township,PA,16066,USA,6,"40.683982, -80.10839",312,Open,2014-04-04,SC,thread
